"_path","_id","sessionId","type","timestamp","clientTimestamp","timeElapsedSeconds","readableTime","semesterTime","taskId","from","to","isAutoAdvance","completed","leftForTask","timeSpentSeconds","attempts","accuracy","userAnswer","correctAnswer","points","pointsEarned","categoryPoints","studentLearningScore","engagementInterest","completionContext","totalTimeSeconds","0","1","2","3","4","5","taskType","reason","studentId","section","6","7","currentMode","semester","hasCheckpoint","action","response","currentTask","totalSwitches","completedTasks","completedLevels","completionReason","gameMode","currentSemester","totalBonus","finalScore","finalContext","practiceCompleted","totalSemesters","isAdminMode","choice"
"events/0Via9TA0xTJbPG0qh6yE","0Via9TA0xTJbPG0qh6yE","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:59:12.252Z",1756479552252,1122.4,"18:42","{""elapsedSeconds"":1122.4,""readable"":""18:42"",""minutes"":18,""seconds"":42}",,"g2t22","g2t23",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0WChj0sgp4XjdznnLTVf","0WChj0sgp4XjdznnLTVf","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:53:39.407Z",1756479219407,789.6,"13:09","{""elapsedSeconds"":789.6,""readable"":""13:09"",""minutes"":13,""seconds"":9}","g1t26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0WnG5lUrApAt3w4DJK2p","0WnG5lUrApAt3w4DJK2p","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:48:41.839Z",1756478921839,492,"8:11","{""elapsedSeconds"":492,""readable"":""8:11"",""minutes"":8,""seconds"":11}","g3t26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0WyPLglAQZHcCnNY7nPa","0WyPLglAQZHcCnNY7nPa","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:47:33.452Z",1756478853452,423.6,"7:03","{""elapsedSeconds"":423.6,""readable"":""7:03"",""minutes"":7,""seconds"":3}","g2t19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0XX1J0SLmNyKmR1vubSn","0XX1J0SLmNyKmR1vubSn","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:51:31.575Z",1756479091575,661.7,"11:01","{""elapsedSeconds"":661.7,""readable"":""11:01"",""minutes"":11,""seconds"":1}",,"g3t43","g3t44",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0ZrROG1nGyWDLGT9V40R","0ZrROG1nGyWDLGT9V40R","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:58:21.983Z",1756479501983,1072.1,"17:52","{""elapsedSeconds"":1072.1,""readable"":""17:52"",""minutes"":17,""seconds"":52}",,"g3t16","g3t17",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0dF1LUBFDosudz17LfUQ","0dF1LUBFDosudz17LfUQ","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:48:01.288Z",1756478881288,451.4,"7:31","{""elapsedSeconds"":451.4,""readable"":""7:31"",""minutes"":7,""seconds"":31}",,"g3t19","g3t20",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0dgJqVMmx9pHglHzpKxu","0dgJqVMmx9pHglHzpKxu","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:44:31.981Z",1756478671981,242.1,"4:02","{""elapsedSeconds"":242.1,""readable"":""4:02"",""minutes"":4,""seconds"":2}","g1t12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0jlmwDuUJKgYYXJfGwHR","0jlmwDuUJKgYYXJfGwHR","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:53:00.472Z",1756479180472,750.6,"12:30","{""elapsedSeconds"":750.6,""readable"":""12:30"",""minutes"":12,""seconds"":30}","g3t49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0rCBWk1dnzBjzjjUXQB1","0rCBWk1dnzBjzjjUXQB1","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:44:32.182Z",1756478672182,242.3,"4:02","{""elapsedSeconds"":242.3,""readable"":""4:02"",""minutes"":4,""seconds"":2}",,"g1t12","g1t13",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0tL2GPUDQLQJO5YlnEkm","0tL2GPUDQLQJO5YlnEkm","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:43:34.662Z",1756478614662,184.8,"3:04","{""elapsedSeconds"":184.8,""readable"":""3:04"",""minutes"":3,""seconds"":4}",,"g1t7","g3t4",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0vGQOTdGVBOUmIaxxvit","0vGQOTdGVBOUmIaxxvit","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:47:37.907Z",1756478857907,428.1,"7:08","{""elapsedSeconds"":428.1,""readable"":""7:08"",""minutes"":7,""seconds"":8}",,"g2t20","g2t21",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/0y55Zy7mlcGlpywGaIIF","0y55Zy7mlcGlpywGaIIF","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:46:08.558Z",1756478768558,338.7,"5:38","{""elapsedSeconds"":338.7,""readable"":""5:38"",""minutes"":5,""seconds"":38}","g3t18",,,,,,,1,100,"AlMoSt DoNe","AlMoSt DoNe",2,2,"{""materials"":4,""research"":21,""engagement"":34,""bonus"":0}",25.250500000000002,8.650500000000001,"{""totalTasksCompleted"":37,""currentGameTime"":247,""switchesBeforeCompletion"":15,""bonusPromptsEarned"":37,""timeRemaining"":473}","30.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/10dw2hVdDAnBF2Yhalhn","10dw2hVdDAnBF2Yhalhn","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:48:11.485Z",1756478891485,461.6,"7:41","{""elapsedSeconds"":461.6,""readable"":""7:41"",""minutes"":7,""seconds"":41}",,"g3t22","g3t23",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/11jxkCko3P3IgKW3JrlQ","11jxkCko3P3IgKW3JrlQ","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:53:24.064Z",1756479204064,774.2,"12:54","{""elapsedSeconds"":774.2,""readable"":""12:54"",""minutes"":12,""seconds"":54}","g1t22",,,,,,,1,100,28,28,2,2,"{""materials"":93,""research"":29,""engagement"":92,""bonus"":0}",2589.6087750000006,2092.058775000001,"{""totalTasksCompleted"":122,""currentGameTime"":683,""switchesBeforeCompletion"":30,""bonusPromptsEarned"":122,""timeRemaining"":37}","16.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1Bk7l7k437EaqrkuPCPo","1Bk7l7k437EaqrkuPCPo","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:57:54.667Z",1756479474667,1044.8,"17:24","{""elapsedSeconds"":1044.8,""readable"":""17:24"",""minutes"":17,""seconds"":24}","g2t15",,,,false,"g2t16","5.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1DPi6mDTOTaVATOmkgCy","1DPi6mDTOTaVATOmkgCy","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:58:36.928Z",1756479516928,1087.1,"18:07","{""elapsedSeconds"":1087.1,""readable"":""18:07"",""minutes"":18,""seconds"":7}","g3t18",,,,false,"g1t4","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1GDdohHcGd1UI3xPmucR","1GDdohHcGd1UI3xPmucR","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:50:10.502Z",1756479010502,580.7,"9:40","{""elapsedSeconds"":580.7,""readable"":""9:40"",""minutes"":9,""seconds"":40}","g3t32",,,,false,"g3t33","3.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1I09xFhzChOaVVT0gREU","1I09xFhzChOaVVT0gREU","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:57:02.396Z",1756479422396,992.5,"16:32","{""elapsedSeconds"":992.5,""readable"":""16:32"",""minutes"":16,""seconds"":32}",,"g3t9","g3t10",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1LMtX7Nb1mAlh2qvzZdK","1LMtX7Nb1mAlh2qvzZdK","3JNmRl43SrpAGSlPV49M","page_switch","2025-08-29T14:44:26.207Z",1756478666207,236.4,"3:56","{""elapsedSeconds"":236.4,""readable"":""3:56"",""minutes"":3,""seconds"":56}",,"g3t7","g3t8",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1LmUSJY1kCYKlSLbe8kA","1LmUSJY1kCYKlSLbe8kA","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:44:14.928Z",1756478654928,225.1,"3:45","{""elapsedSeconds"":225.1,""readable"":""3:45"",""minutes"":3,""seconds"":45}","g1t10",,,,false,"g1t11","4.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1PdpgPWhQdRtgY69OZ2o","1PdpgPWhQdRtgY69OZ2o","3JNmRl43SrpAGSlPV49M","task_attempt","2025-08-29T14:53:18.756Z",1756479198756,768.9,"12:48","{""elapsedSeconds"":768.9,""readable"":""12:48"",""minutes"":12,""seconds"":48}","g1t21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1RsFXl7VVCpwBLSjeAUH","1RsFXl7VVCpwBLSjeAUH","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:49:18.219Z",1756478958219,528.4,"8:48","{""elapsedSeconds"":528.4,""readable"":""8:48"",""minutes"":8,""seconds"":48}","g2t26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1VSl3HzXIubApxfXFN6f","1VSl3HzXIubApxfXFN6f","3JNmRl43SrpAGSlPV49M","task_complete","2025-08-29T14:56:52.206Z",1756479412206,982.4,"16:22","{""elapsedSeconds"":982.4,""readable"":""16:22"",""minutes"":16,""seconds"":22}","g3t7",,,,,,,1,100,"keep going","keep going",2,2,"{""materials"":27,""research"":4,""engagement"":14,""bonus"":0}",49.54860000000001,6.348600000000002,"{""totalTasksCompleted"":24,""currentGameTime"":162,""switchesBeforeCompletion"":20,""bonusPromptsEarned"":24,""timeRemaining"":558}","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1W24bxsaBwcT8m4HP7Ga","1W24bxsaBwcT8m4HP7Ga","3JNmRl43SrpAGSlPV49M","task_time","2025-08-29T14:50:04.524Z",1756479004524,574.7,"9:34","{""elapsedSeconds"":574.7,""readable"":""9:34"",""minutes"":9,""seconds"":34}","g2t36",,,,false,"g2t37","3.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"events/1WHN6gI4mqtwryyGpDyl","1WHN6gI4mqtwryyGpDyl","3JNmRl43SrpAGSlPV49M","task_attempt","2025-08-29T14:45:49.904Z",1756478749904,320.1,"5:20","{""elapsedSeconds"":320.1,""readable"":""5:20"",""minutes"":5,""seconds"":20}","g3t15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
